cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-2330-00-1032987-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion Llantas Para El Parque Automotor Setar Tarija,Contratado,,2020-03-04,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-02-12,Tarija,NB-SABS (D.S.0181)
20-2330-00-1033985-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion De Cable Concentrico Nâ° 8 Area Urbana Y Rural Del Sistema Central Tarija - Fase 3,Contratado,,2020-03-09,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-02-27,Tarija,NB-SABS (D.S.0181)
20-2330-00-1036014-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion Postes De Madera Tratada Para Atencion De Emergencia,Contratado,,2020-03-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-03-04,Tarija,NB-SABS (D.S.0181)
20-2330-00-1035754-1-1,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Obras,ANPE,Implementacion De Puente De Medicion De Gas Natural (Manifold De Medicion) En La Planta De Generacion Entre Rios,No Informado,2020-03-25,2020-03-18,ConvocatoriaDocumento Base de Contratacion,FORM 100,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,,Tarija,NB-SABS (D.S.0181)
20-2330-00-1036645-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion Postes De Hormigon Armado Mt,Contratado,,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-03-11,Tarija,NB-SABS (D.S.0181)
20-2330-00-1039996-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion De Aceite Para Los Generadores Cummins Gta-28 Sistema Setar Entre Rios,Contratado,,2020-05-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-03-11,Tarija,NB-SABS (D.S.0181)
20-2330-00-1040254-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,"Adquisicion Postes De Eucalipto Tratado De 8,5 Metros Para Mantenimiento De Redes Sistema Setar Entre Rios",Contratado,,2020-05-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-03-09,Tarija,NB-SABS (D.S.0181)
20-2330-00-1040257-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,"Adquisicion Postes De Eucalipto Tratado De 8,5 Metros Para Ampliaciones Sistema Setar Entre Rios",Contratado,,2020-05-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-03-10,Tarija,NB-SABS (D.S.0181)
20-2330-00-1040230-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Servicios Generales,CM,Contratacion De Micro Empresa Para Servicio De Lecturacion Digital Y Entrega De Avisos De Cobranza En Sitio Area Urbana Y Rural Sistema Setar Entre Rios Fase 2,Contratado,,2020-05-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-02-07,Tarija,NB-SABS (D.S.0181)
20-2330-00-1040271-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Servicios Generales,CM,Servicio De Remodelacion De Oficina Para Auditoria Interna,Contratado,,2020-05-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-04-22,Tarija,NB-SABS (D.S.0181)
20-2330-00-1040263-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion Postes De Hormigon Armado Expansiones Rbt Urbano - Rural,Contratado,,2020-05-13,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-04-28,Tarija,NB-SABS (D.S.0181)
20-2330-00-1040392-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion De Cable Acsr Nâ° 4/0 Awg Para Reemplazo Alimentador El Valle Tramo El Constructor,Contratado,,2020-05-14,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-03-11,Tarija,NB-SABS (D.S.0181)
20-2330-00-1040400-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion De Repuestos Para Las Unidades De Generacion Cummins Gta-28 (Er-01; Er-02) Sistema Setar Entre Rios,Contratado,,2020-05-20,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-04-30,Tarija,NB-SABS (D.S.0181)
20-2330-00-1041636-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Servicios Generales,CM,"Adquisicion De Licencia De Antivirus Para Equipos De Computacion Sistema Tarija, Entre Rios, El Puente, Yacuiba Y Villa Montes",Contratado,,2020-05-26,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-05-06,Tarija,NB-SABS (D.S.0181)
20-2330-00-1044571-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Servicios Generales,EX,"Servicio De Mantenimiento Y Soporte Tecnico Del Sistema Informatico Integrado De Setar Para Tarija, Yacuiba, Villa Montes, Bermejo, Entre Rios Y El Puente",Contratado,,2020-06-15,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-05-04,Tarija,NB-SABS (D.S.0181)
20-2330-00-1044547-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Servicios Generales,CM,Contratacion Servicio De Lecturacion Digital De Medidores Etapa Iii Sistema Setar Entre Rios,Contratado,,2020-06-15,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-03-09,Tarija,NB-SABS (D.S.0181)
20-2330-00-1045048-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Servicios Generales,CM,Contratacion Microempresa Para Servicios De Instalaciones Nuevas Y Traslados De Medidores Del Sistema Central Tarija - Grupo 4,Contratado,,2020-06-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-02-26,Tarija,NB-SABS (D.S.0181)
20-2330-00-1045714-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Servicios Generales,CM,Contratacion Estudio De Arquitectura Para El Cerramiento Del Lote De Terreno Ubicado En La Tabalada,Contratado,,2020-06-19,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-02-21,Tarija,NB-SABS (D.S.0181)
20-2330-00-1048101-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion De Tarjetas Ups Reconectador Abb,Contratado,,2020-07-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-04-20,Tarija,NB-SABS (D.S.0181)
20-2330-00-1048528-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion De Tarjeta Ups Reconectador Abb Area Rural,Contratado,,2020-07-08,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-04-20,Tarija,NB-SABS (D.S.0181)
20-2330-00-1049243-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion De Cable Concentrico Nâ° 8 Provincia Cercado Sistema Central Tarija - Fase 4,Contratado,,2020-07-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-07-06,Tarija,NB-SABS (D.S.0181)
20-2330-00-1049252-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion De Repuestos Para Las Unidades De Generacion Er-05 Y Er-06 Caterpillar G-3516 Planta Termoelectrica El Pajonal,Contratado,,2020-07-14,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-04-30,Tarija,NB-SABS (D.S.0181)
20-2330-00-1049333-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Servicios Generales,CM,Contratacion Empresa Para Servicios De Lecturacion Digital Y Entrega De Avisos De Cobranza En Sitio Area Urbana Y Rural Sistema Setar Entre Rios Fase Iii,Contratado,,2020-07-14,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-05-20,Tarija,NB-SABS (D.S.0181)
20-2330-00-1049393-0-E,Empresa Publica Departamental De Servicios Electricos Tarija - Setar,Bienes,CM,Adquisicion De Aceite Para Los Generadores Cat G 3516 Sistema Setar Entre Rios,Contratado,,2020-07-14,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Nivardo Ruiz Vega (Telf: 46642213 - INT. 102), ,,   - , ,2020-02-26,Tarija,NB-SABS (D.S.0181)
