cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0904-00-1032057-1-1,Gobierno Autónomo Departamental De Oruro,Bienes,ANPE,"Adquisición De Frazadas, Almohadas, Colchones, Aislantes Y Sleeping Para El Comando Departamental De Policia Oruro - Programa De Fortalecimiento A La Seguridad Ciudadana Departamento De Oruro",Adjudicado,2020-03-06,2020-03-02,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionResolucion/Documento de SuspensionResolucion/Documento de Reanudacion,FORM 100FORM 170FORM 100-EFORM RPS,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2020-03-10,Oruro,NB-SABS (D.S.0181)
20-0904-00-1032966-1-1,Gobierno Autónomo Departamental De Oruro,Consultoria,ANPP,Contratacion De 7 Consultores Individuales De Linea Para El Proyecto Fortalecimiento En Seguridad Alimentaria Y Nutricion En Niños(As) Y Adolescentes En Unidades Educativas Del Departamento De Oruro,Anulado desde la convocatoria,2020-03-16,2020-03-04,Documento Base de ContratacionConvocatoriaResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Rodolfo Alfredo Gonzales Leon (Telf: 5250200), ,,   - , ,,Oruro,NB-SABS (D.S.0181)
20-0904-00-1032420-0-E,Gobierno Autónomo Departamental De Oruro,Servicios Generales,CM,"Servicio De Mantenimiento Preventivo Y Correctivo En Taller Externo Del Vehiculo Mata Incendios Con Placa De Control 1570-Fgh De La Direccion Departamental De Bomberos ""Calama""",Contratado,,2020-03-05,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2020-02-14,Oruro,NB-SABS (D.S.0181)
20-0904-00-1033754-1-1,Gobierno Autónomo Departamental De Oruro,Servicios Generales,LP,"Seguro Automotor Para Ocho Equipos (Excavadora, Motoniveladora, Retroexcavadora, Tractores Y Volquetas Del ""Proyecto Implementación Del Sistema De Prevención Contra Inundaciones En El Rio Desaguadero Departamento De Oruro""",Contratado,2020-03-27,2020-03-06,Documento Base de ContratacionConvocatoriaResolucion de aprobacion del DBCEnmiendasActa Reunion de AclaracionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 100FORM 120FORM 170FORM 200,Ver Ficha,Gabriela Gutierrez Beltrán (Telf: 5250200), ,,   - ,13/03/2020 15:00,2020-03-31,Oruro,NB-SABS (D.S.0181)
20-0904-00-1033543-0-E,Gobierno Autónomo Departamental De Oruro,Servicios Generales,CD,Contratacion Directa De Sonido Para El Xix Festival De Bandas,Contratado,,2020-03-09,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Doris R. Arrazola Castellon (Telf: 5250200), ,,   - , ,2020-02-11,Oruro,NB-SABS (D.S.0181)
20-0904-00-1029070-1-2,Gobierno Autónomo Departamental De Oruro,Bienes,ANPE,Adquisicion De Toner Para Impresoras Y Fotocopiadora Para Programas,Contratado,2020-03-17,2020-03-11,Documento Base de ContratacionConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de ReanudacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 100-EFORM RPSFORM 170FORM 200FORM 500,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2020-05-27,Oruro,NB-SABS (D.S.0181)
20-0904-00-1031207-1-2,Gobierno Autónomo Departamental De Oruro,Bienes,ANPE,Adquisicion De Toner Para Impresoras Y Fotocopiadora Para Secretarias (Actividades),Desierto,2020-03-18,2020-03-12,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota),FORM 100FORM 170,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2020-03-20,Oruro,NB-SABS (D.S.0181)
20-0904-00-1035978-1-1,Gobierno Autónomo Departamental De Oruro,Consultoria,ANPP,Contratación De 10 Consultores Individuales De Línea Para El Proyecto  Capacitacion En Gestión De Desarrollo  De La Actividad Minera A Los Operadores Mineros Del Departamento De Oruro,Adjudicado,2020-06-05,2020-03-16,Documento Base de ContratacionConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de ReanudacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 100-EFORM RPSFORM 170,Ver Ficha,Rodolfo Alfredo Gonzales Leon (Telf: 5250200), ,,   - , ,2020-06-10,Oruro,NB-SABS (D.S.0181)
20-0904-00-1036245-0-E,Gobierno Autónomo Departamental De Oruro,Consultoria,CM,"Contratacion De Dos Consultores Individuales De Linea, Especialista Ambiental Y Alarife Iii, Para La Supervision Del Proy: Const. Camino Asf. El Choro Puente Caracila El Choro (Tramo I)",Contratado,,2020-03-17,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioInforme,FORM 400,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2020-02-17,Oruro,NB-SABS (D.S.0181)
20-0904-00-1036610-1-1,Gobierno Autónomo Departamental De Oruro,Consultoria,ANPE,"Contratación De  Consultores Individuales De Linea (Programa De Apoyo Técnico A La Inversión Fase Ii) Para El Servicio Departamental De Aguas, Cuencas Y Riegos",Contratado,2020-06-10,2020-03-18,Documento Base de ContratacionConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de ReanudacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioVer mas...,FORM 100FORM 100-EFORM RPSFORM 170FORM 200,Ver Ficha,Rodolfo Alfredo Gonzales Leon (Telf: 5250200), ,,   - , ,2020-06-12,Oruro,NB-SABS (D.S.0181)
19-0904-00-1006459-0-E,Gobierno Autónomo Departamental De Oruro,Bienes,CM,Adquisicion De Equipos De Computacion Para Proyecto Implementacion Del Sistema De Prevencion Contra Inundaciones En El Rio Desaguadero Departamento De Oruro,Contratado,,2020-03-19,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioSolicitud de RectificacionContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Solicitud de RectificacionRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,Formulario 400 (Erroneo)Formulario 400 (Erroneo)FORM 400FORM 500,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2019-11-20,Oruro,NB-SABS (D.S.0181)
20-0904-00-1036811-0-E,Gobierno Autónomo Departamental De Oruro,Consultoria,CM,"Contratación De Dos Consultores Individuales De Linea, Topógrafo Y Laboratorista De Control De Calidad I, Para La Supervisión Del Proy: Const. Camino Asf. El Choro Puente Caracila El Choro (Tramo I)",Contratado,,2020-03-19,Contrato/Orden de Compra/Orden de ServicioInformeRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2020-01-29,Oruro,NB-SABS (D.S.0181)
20-0904-00-1036841-0-E,Gobierno Autónomo Departamental De Oruro,Consultoria,CM,Contratacion De Un Consultor Individual De Linea Topografo Para La Supervision Del Proyecto Const. Camino Asfaltado Cruce Ventilla Mojompampa Lmte. Deptal. Potosi,Contratado,,2020-03-20,Res. de Adjudicacion (nota)InformeContrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2020-01-29,Oruro,NB-SABS (D.S.0181)
20-0904-00-1037393-0-E,Gobierno Autónomo Departamental De Oruro,Consultoria,CM,"Contratación De Consultor Individual De Linea Supervisor De Obras Y/O Proyectos Ii, Para La Supervisión Del Proyecto: Construcción Unidad Educativa Ernesto Guevara De La Serna Secundaria - Municipio De Oruro",Contratado,,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Informe,FORM 400,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2020-02-04,Oruro,NB-SABS (D.S.0181)
20-0904-00-1037363-0-E,Gobierno Autónomo Departamental De Oruro,Consultoria,CM,Contratación De 3 Consultores Individuales De Linea Para El Programa De Fortalecimiento A La Seguridad Ciudadana Departamento De Oruro,Contratado,,2020-03-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioInformeContrato Modificatorio/Orden de CambioSustento de FinanciamientoContrato Modificatorio/Orden de CambioContrato Modificatorio/Orden de Cambio,FORM 400FORM 250FORM 250FORM 250,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2020-01-31,Oruro,NB-SABS (D.S.0181)
20-0904-00-1037402-0-E,Gobierno Autónomo Departamental De Oruro,Consultoria,CM,Contratación De Consultor Individual De Linea Chofer Profesional I - Alarife Programa De Mantenimiento De La Red Vial Departamental,Contratado,,2020-03-23,Res. de Adjudicacion (nota)InformeContrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Rosemary Cahuana Mollo (Telf: 5250200), ,,   - , ,2020-02-07,Oruro,NB-SABS (D.S.0181)
