cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
19-1346-00-1031990-0-E,Gobierno Autonomo Municipal De Cocapata,Bienes,CM,Adquisicion De Equipamiento Para Los Centros De Salud,Contratado,,2020-03-02,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Delia Rojas Mamani (Telf: 4368962), ,,   - , ,2019-12-16,Cochabamba,NB-SABS (D.S.0181)
20-1346-00-1033075-1-1,Gobierno Autonomo Municipal De Cocapata,Bienes,ANPP,Adquisicion De Complemento Nutricional Para El Adulto Mayor (Carmelo) Gestion 2020,Anulado desde la convocatoria,2020-03-17,2020-03-05,Documento Base de ContratacionConvocatoriaResolucion/Documento de SuspensionResolucion/Documento de ReanudacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionResolucion que resuelve Recurso ImpugnacionResolucion/Documento de Anulacion,FORM 100FORM 100-EFORM RPSFORM 170FORM 300FORM 100-E,Ver Ficha,Delia Rojas Mamani (Telf: 4368962), ,,   - , ,2020-06-17,Cochabamba,NB-SABS (D.S.0181)
20-1346-00-1035585-0-E,Gobierno Autonomo Municipal De Cocapata,Bienes,CM,Adquisicion De Equipos De Computacion E Impresora Para Unidad Educativa Pedro Layme Chuspi,Contratado,,2020-03-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Delia Rojas Mamani (Telf: 4368962), ,,   - , ,2020-03-03,Cochabamba,NB-SABS (D.S.0181)
20-1346-00-1036507-1-1,Gobierno Autonomo Municipal De Cocapata,Bienes,ANPP,"Adquisicion Anual De Medicamentos E Insumos De Medicina General, Odontologia Y Laboratorio Gestion 2020",Anulado desde la convocatoria,2020-06-24,2020-03-19,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionResolucion/Documento de Anulacion,FORM 100FORM 100-EFORM RPSFORM 100-E,Ver Ficha,Delia Rojas Mamani (Telf: 4368962), ,,   - ,25/03/2020 09:30,,Cochabamba,NB-SABS (D.S.0181)
20-1346-00-1040518-1-1,Gobierno Autonomo Municipal De Cocapata,Obras,ANPP,Apert. De Camino Colorado - Santa Elena,Contratado,2020-05-27,2020-05-15,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Delia Rojas Mamani (Telf: 4368962), ,,   - , ,2020-06-09,Cochabamba,NB-SABS (D.S.0181)
20-1346-00-1040826-0-E,Gobierno Autonomo Municipal De Cocapata,Bienes,CM,Compra De Alimentos Raciones Secas E Insumos Gestion 2020,Contratado,,2020-05-20,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Delia Rojas Mamani (Telf: 4368962), ,,   - , ,2020-03-10,Cochabamba,NB-SABS (D.S.0181)
20-1346-00-1043206-1-1,Gobierno Autonomo Municipal De Cocapata,Bienes,ANPE,Adquisición De  Llantas Para Las  Movilidades Y Motocicletas Pertenecientes A Los Centros De Salud Del  Gobierno Autónomo Municipal De Cocapata Gestión 2020,Anulado desde la convocatoria,2020-06-10,2020-06-04,Documento Base de ContratacionConvocatoriaResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Delia Rojas Mamani (Telf: 4368962), ,,   - , ,,Cochabamba,NB-SABS (D.S.0181)
20-1346-00-1044878-1-1,Gobierno Autonomo Municipal De Cocapata,Bienes,ANPE,"Adquisicion De Aceites, Filtros Y Lubricantes Para Tractores Agricolas, Vehiculos Y Motocicletas De Los Centros De Salud Del Gobierno Autonomo Municipal De Cocapata Gestion 2020",Anulado desde la convocatoria,2020-06-22,2020-06-16,Documento Base de ContratacionConvocatoriaResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Delia Rojas Mamani (Telf: 4368962), ,,   - , ,,Cochabamba,NB-SABS (D.S.0181)
20-1346-00-1046573-0-E,Gobierno Autonomo Municipal De Cocapata,Consultoria,CM,"Servicio De Consultoria Por Producto ""Delimitacion Y Homologacion Del Area Urbana De Las Comunidades De Choro Y Falsuri""",Contratado,,2020-06-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Delia Rojas Mamani (Telf: 4368962), ,,   - , ,2020-06-05,Cochabamba,NB-SABS (D.S.0181)
20-1346-00-1035584-0-E,Gobierno Autonomo Municipal De Cocapata,Bienes,CM,Compra De Repuestos Para La Motoniveladora 670 John Deere,Contratado,,2020-06-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Delia Rojas Mamani (Telf: 4368962), ,,   - , ,2020-04-20,Cochabamba,NB-SABS (D.S.0181)
