cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1712-00-1033000-0-E,Gobierno Autonomo Municipal De Yapacani,Bienes,CM,Provisión Y Colocado De Césped Sintético Para Salas De Calentamiento Del Estadio Municipal Integración Bolivia,Contratado,,2020-03-04,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Laury Choque Impa (Telf: 933-6167), ,,   - , ,2020-03-02,Santa Cruz,NB-SABS (D.S.0181)
20-1712-00-1032758-0-E,Gobierno Autonomo Municipal De Yapacani,Servicios Generales,CM,Reparación Y Tornería Para Vehículos Del Gamy,Contratado,,2020-03-04,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Laury Choque Impa (Telf: 933-6167), ,,   - , ,2020-01-24,Santa Cruz,NB-SABS (D.S.0181)
20-1712-00-1032771-0-E,Gobierno Autonomo Municipal De Yapacani,Servicios Generales,CM,Provisión Y Transporte De Alcantarillas De H° A° Para Area Urbana De San Juan Campo Vibora,Contratado,,2020-03-04,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Laury Choque Impa (Telf: 933-6167), ,,   - , ,2020-01-29,Santa Cruz,NB-SABS (D.S.0181)
20-1712-00-1033446-0-E,Gobierno Autonomo Municipal De Yapacani,Bienes,CM,Adquisicion De Accesorios Para El Mantenimiento De Alumbrado Publico Distrito I,Contratado,,2020-03-05,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Laury Choque Impa (Telf: 933-6167), ,,   - , ,2020-02-14,Santa Cruz,NB-SABS (D.S.0181)
20-1712-00-1033129-0-E,Gobierno Autonomo Municipal De Yapacani,Bienes,CM,Adquisiciã??N De Materiales Elã??Ctricos Para Refacciã??N De Unidades Educativas Area Urbano Y Rural,Contratado,,2020-03-05,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Laury Choque Impa (Telf: 933-6167), ,,   - , ,2020-01-27,Santa Cruz,NB-SABS (D.S.0181)
20-1712-00-1033821-1-1,Gobierno Autonomo Municipal De Yapacani,Bienes,ANPP,Provision De Desayuno Escolar Racion Solida 2da Fase: (Fortalecimiento Y Asistencia A Desayuno Escolar),No Informado,2020-03-19,2020-03-09,Documento Base de ContratacionConvocatoriaResolucion de aprobacion del DBC,FORM 100,Ver Ficha,Laury Choque Impa (Telf: 933-6167), ,,   - , ,,Santa Cruz,NB-SABS (D.S.0181)
20-1712-00-1034909-0-E,Gobierno Autonomo Municipal De Yapacani,Obras,CD,Refaccion U.E. Nuevo Horizonte.,Contratado,,2020-03-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Hernan Vallez Fernandez (Telf: 933-6167), ,,   - , ,2020-02-20,Santa Cruz,NB-SABS (D.S.0181)
20-1712-00-1034894-0-E,Gobierno Autonomo Municipal De Yapacani,Obras,CD,Construccion De Una Aula En La Unidad Educativa Marcelo Cayoja Central Puerto Grether,Contratado,,2020-03-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Hernan Vallez Fernandez (Telf: 933-6167), ,,   - , ,2020-02-27,Santa Cruz,NB-SABS (D.S.0181)
20-1712-00-1036133-0-E,Gobierno Autonomo Municipal De Yapacani,Obras,CD,Construccion De Tinglado Unidad Educativa Santa Fe De La Central Puerto Grether,Contratado,,2020-03-16,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Laury Choque Impa (Telf: 933-6167), ,,   - , ,2020-03-03,Santa Cruz,NB-SABS (D.S.0181)
20-1712-00-1036889-1-1,Gobierno Autonomo Municipal De Yapacani,Obras,ANPE,Mejoramiento De Caminos Y Alcantarillas En La Central Km 35 F.N.,Suspendido,2020-03-25,2020-03-19,Documento Base de ContratacionConvocatoriaPlanosPlanosResolucion/Documento de Suspension,FORM 100FORM 100-E,Ver Ficha,Laury Choque Impa (Telf: 933-6167), ,,   - , ,,Santa Cruz,NB-SABS (D.S.0181)
