cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0081-00-1035337-0-E,"Ministerio De Obras Publicas , Servicios Y Vivienda",Servicios Generales,CM,Servicio De Serenaje Para Resguardo De Terreno Del Mopsv Ubicado En La Localidad De San Borja Del Departamento Del Beni Gestion 2020,Contratado,,2020-03-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Danny Cristhian Borda Reyes (Telf: 2119999), ,,   - , ,2020-01-23,La Paz,NB-SABS (D.S.0181)
20-0081-00-1036092-0-E,"Ministerio De Obras Publicas , Servicios Y Vivienda",Servicios Generales,CM,Servicio De Refaccion Y Mantenimiento Del Ambiente De Archivo Central Ubicado En Los Depositos De La Ceja De El Alto,Contratado,,2020-03-19,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Danny Cristhian Borda Reyes (Telf: 2119999), ,,   - , ,2020-02-10,La Paz,NB-SABS (D.S.0181)
20-0081-00-1038429-0-E,"Ministerio De Obras Publicas , Servicios Y Vivienda",Bienes,CM,"Adquisicion De Material De Escritorio Y Toners Para El Ministerio De Obras Públicas, Servicios Y Vivienda",Contratado,,2020-04-17,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Danny Cristhian Borda Reyes (Telf: 2119999), ,,   - , ,2020-03-12,La Paz,NB-SABS (D.S.0181)
20-0081-00-1043049-0-E,"Ministerio De Obras Publicas , Servicios Y Vivienda",Servicios Generales,CM,Servicio De Mantenimiento Y Refaccion De Cubiertas: Cambio Y Refuerzo De Estructuras De Madera Con Reemplazo De Cubiertas De Calamina De Dos Ambientes De Archivo Central Ubicado En La Av. Illimani,Contratado,,2020-06-04,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Danny Cristhian Borda Reyes (Telf: 2119999), ,,   - , ,2020-03-12,La Paz,NB-SABS (D.S.0181)
20-0081-00-1043052-0-E,"Ministerio De Obras Publicas , Servicios Y Vivienda",Bienes,CM,Adquisicion De Estantes Metalicos Para La Unidad Ejecutora De Titulacion,Contratado,,2020-06-04,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Danny Cristhian Borda Reyes (Telf: 2119999), ,,   - , ,2020-04-27,La Paz,NB-SABS (D.S.0181)
20-0081-00-1044962-0-E,"Ministerio De Obras Publicas , Servicios Y Vivienda",Bienes,CM,Adquisición De Un Equipo Fotocopiador Y Un Reloj Biométrico De Control De Personal Para La Unidad Ejecutora De Titulación,Contratado,,2020-06-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Danny Cristhian Borda Reyes (Telf: 2119999), ,,   - , ,2020-05-15,La Paz,NB-SABS (D.S.0181)
20-0081-00-1045503-0-E,"Ministerio De Obras Publicas , Servicios Y Vivienda",Bienes,CD,"Provisión De Combustible Para El Ministerio De Obras Públicas, Servicios Y Vivienda Gestion - 2020",Contratado,,2020-06-25,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Danny Cristhian Borda Reyes (Telf: 2119999), ,,   - , ,2020-05-18,La Paz,NB-SABS (D.S.0181)
20-0081-00-1046586-1-1,"Ministerio De Obras Publicas , Servicios Y Vivienda",Bienes,ANPE,"Adquisicion De Equipos De Computacion Para El Ministerio De Obras Publicas, Servicios Y Vivienda",Cancelado,2020-07-06,2020-06-29,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de Cancelacion,FORM 100FORM 100-E,Ver Ficha,Danny Cristhian Borda Reyes (Telf: 2119999), ,,   - , ,,La Paz,NB-SABS (D.S.0181)
20-0081-00-1046588-1-1,"Ministerio De Obras Publicas , Servicios Y Vivienda",Bienes,ANPE,Adquisicion De Estantes Archivo Central Del Mopsv,Contratado,2020-07-07,2020-06-30,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Danny Cristhian Borda Reyes (Telf: 2119999), ,,   - , ,2020-07-09,La Paz,NB-SABS (D.S.0181)
20-0081-00-1051816-1-1,"Ministerio De Obras Publicas , Servicios Y Vivienda",Bienes,ANPE,"Adquisición De Útiles De Escritorio Y Oficina Para El Ministerio De Obras Públicas, Servicios Y Vivienda",Adjudicado,2020-08-05,2020-07-29,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota),FORM 100FORM 170,Ver Ficha,Danny Cristhian Borda Reyes (Telf: 2119999), ,,   - , ,2020-08-11,La Paz,NB-SABS (D.S.0181)
