cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0831-00-1035089-0-E,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Bienes,CM,Valvula De Retension De 1/2 De Bronce Horizontal,Contratado,,2020-03-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-02-17,Oruro,NB-SABS (D.S.0181)
20-0831-00-1035126-0-E,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Bienes,CM,Codo De 1/2 Fogo Con Rosca,Contratado,,2020-03-12,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-02-17,Oruro,NB-SABS (D.S.0181)
20-0831-00-1035133-0-E,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Bienes,CM,Valvula De Paso De 1/2 T/Bola,Contratado,,2020-03-12,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-02-17,Oruro,NB-SABS (D.S.0181)
20-0831-00-1037582-0-E,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Bienes,CM,"Valvula De Cuña De 1/2""",Contratado,,2020-03-27,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-02-17,Oruro,NB-SABS (D.S.0181)
20-0831-00-1037697-0-E,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Bienes,CM,Llave Final De 1/2,Contratado,,2020-03-31,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-02-13,Oruro,NB-SABS (D.S.0181)
20-0831-00-1039608-1-1,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Bienes,ANPE,Provision De Botellones De Gas Cloro,Desierto,2020-05-12,2020-05-05,Especificaciones TecnicasDocumento Base de ContratacionConvocatoriaFormularios de presentacionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota),FORM 100FORM 170,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-05-26,Oruro,NB-SABS (D.S.0181)
20-0831-00-1039704-0-E,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Consultoria,CM,Recuperador De Mora,Contratado,,2020-05-06,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-03-19,Oruro,NB-SABS (D.S.0181)
20-0831-00-1039754-0-E,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Bienes,CM,Recargado Gas Cloro,Contratado,,2020-05-07,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-04-21,Oruro,NB-SABS (D.S.0181)
20-0831-00-1040121-1-1,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Bienes,ANPE,"Juntas Giboelt De 4, 6, 8 Y 12""",No Informado,2020-05-19,2020-05-12,Especificaciones TecnicasEspecificaciones TecnicasFormularios de presentacionDocumento Base de ContratacionConvocatoriaInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota),FORM 100FORM 170,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-05-29,Oruro,NB-SABS (D.S.0181)
20-0831-00-1020151-1-2,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Bienes,ANPE,Provision Papel Termico Pre Impreso Para Aviso De Cobro,Contratado,2020-05-18,2020-05-12,ConvocatoriaFormularios de presentacionDocumento Base de ContratacionEspecificaciones TecnicasInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-05-27,Oruro,NB-SABS (D.S.0181)
20-0831-00-1040604-1-1,Servicio Local Acueducto Y Alcantarillado - Sela Oruro,Bienes,ANPE,Martillo Compresor Y Motobomba,Contratado,2020-05-25,2020-05-18,Especificaciones TecnicasFormularios de presentacionConvocatoriaEspecificaciones TecnicasDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioVer mas...,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Candido Chuncho G (Telf: 5247701), ,,   - , ,2020-06-03,Oruro,NB-SABS (D.S.0181)
